Субъект,Код ОКПД-2,Округ,Месяц,Год,Значение
Оренбургская область,23.52.10.120,ПФО,1,2020,0.0
Пензенская область,23.52.10.120,ПФО,1,2020,0.0
Пермский край,23.52.10.120,ПФО,1,2020,0.033
Республика Башкортостан,23.52.10.120,ПФО,1,2020,0.0
Республика Марий Эл,23.52.10.120,ПФО,1,2020,0.0
Республика Мордовия,23.52.10.120,ПФО,1,2020,0.0
Республика Татарстан,23.52.10.120,ПФО,1,2020,0.0
Самарская область,23.52.10.120,ПФО,1,2020,0.0
Саратовская область,23.52.10.120,ПФО,1,2020,0.0
Удмуртская Республика,23.52.10.120,ПФО,1,2020,0.0
Ульяновская область,23.52.10.120,ПФО,1,2020,0.0
Чувашская Республика,23.52.10.120,ПФО,1,2020,0.7
Архангельская область,23.52.10.120,СЗФО,1,2020,0.0
Вологодская область,23.52.10.120,СЗФО,1,2020,0.0
Калининградская область,23.52.10.120,СЗФО,1,2020,0.0
Ленинградская область,23.52.10.120,СЗФО,1,2020,0.0
Мурманская область,23.52.10.120,СЗФО,1,2020,0.0
Новгородская область,23.52.10.120,СЗФО,1,2020,2.246
Псковская область,23.52.10.120,СЗФО,1,2020,0.0
Республика Карелия,23.52.10.120,СЗФО,1,2020,0.0
Республика Коми,23.52.10.120,СЗФО,1,2020,0.0
Санкт-Петербург,23.52.10.120,СЗФО,1,2020,0.0
Кабардино-Балкарская Республика,23.52.10.120,СКФО,1,2020,0.0
Карачаево-Черкесская Республика,23.52.10.120,СКФО,1,2020,0.0
Республика Дагестан,23.52.10.120,СКФО,1,2020,0.0
Республика Ингушетия,23.52.10.120,СКФО,1,2020,0.0
Республика Северная Осетия-Алания,23.52.10.120,СКФО,1,2020,0.0
Ставропольский край,23.52.10.120,СКФО,1,2020,0.0
Чеченская Республика,23.52.10.120,СКФО,1,2020,0.0
Алтайский край,23.52.10.120,СФО,1,2020,0.0
Забайкальский край,23.52.10.120,ДВФО,1,2020,0.0
Иркутская область,23.52.10.120,СФО,1,2020,0.0
Кемеровская область,23.52.10.120,СФО,1,2020,0.0
Красноярский край,23.52.10.120,СФО,1,2020,0.1
Новосибирская область,23.52.10.120,СФО,1,2020,1.5
Омская область,23.52.10.120,СФО,1,2020,0.0
Республика Алтай,23.52.10.120,СФО,1,2020,0.0
Республика Бурятия,23.52.10.120,ДВФО,1,2020,0.0
Республика Тыва,23.52.10.120,СФО,1,2020,0.0
Республика Хакасия,23.52.10.120,СФО,1,2020,0.0
Томская область,23.52.10.120,СФО,1,2020,0.0
Курганская область,23.52.10.120,УФО,1,2020,0.0
Свердловская область,23.52.10.120,УФО,1,2020,1.2
Тюменская область,23.52.10.120,УФО,1,2020,0.0
Челябинская область,23.52.10.120,УФО,1,2020,2.0
Белгородская область,23.52.10.120,ЦФО,1,2020,1.961
Брянская область,23.52.10.120,ЦФО,1,2020,0.0
Владимирская область,23.52.10.120,ЦФО,1,2020,1.8
Воронежская область,23.52.10.120,ЦФО,1,2020,2.19
Ивановская область,23.52.10.120,ЦФО,1,2020,0.0
Калужская область,23.52.10.120,ЦФО,1,2020,1.7
Костромская область,23.52.10.120,ЦФО,1,2020,0.0
Курская область,23.52.10.120,ЦФО,1,2020,0.0
Липецкая область,23.52.10.120,ЦФО,1,2020,0.1
Москва,23.52.10.120,ЦФО,1,2020,0.0
Московская область,23.52.10.120,ЦФО,1,2020,0.0
Орловская область,23.52.10.120,ЦФО,1,2020,0.0
Рязанская область,23.52.10.120,ЦФО,1,2020,0.0
Смоленская область,23.52.10.120,ЦФО,1,2020,0.0
Тамбовская область,23.52.10.120,ЦФО,1,2020,0.0
Тверская область,23.52.10.120,ЦФО,1,2020,0.0
Тульская область,23.52.10.120,ЦФО,1,2020,0.0
Ярославская область,23.52.10.120,ЦФО,1,2020,0.0
Астраханская область,23.52.10.120,ЮФО,1,2020,0.0
Волгоградская область,23.52.10.120,ЮФО,1,2020,0.0
Краснодарский край,23.52.10.120,ЮФО,1,2020,0.415
Республика Адыгея,23.52.10.120,ЮФО,1,2020,0.0
Республика Калмыкия,23.52.10.120,ЮФО,1,2020,0.0
Республика Крым,23.52.10.120,ЮФО,1,2020,0.0
Ростовская область,23.52.10.120,ЮФО,1,2020,0.0
Севастополь,23.52.10.120,ЮФО,1,2020,0.0
Амурская область,23.52.10.130,ДВФО,1,2020,0.0
Еврейская автономная область,23.52.10.130,ДВФО,1,2020,0.0
Камчатский край,23.52.10.130,ДВФО,1,2020,0.0
Магаданская область,23.52.10.130,ДВФО,1,2020,0.0
Приморский край,23.52.10.130,ДВФО,1,2020,0.0
Республика Саха (Якутия),23.52.10.130,ДВФО,1,2020,0.0
Сахалинская область,23.52.10.130,ДВФО,1,2020,0.0
