Субъект,Код ОКПД-2,Округ,Месяц,Год,Значение
Республика Адыгея,23.52.10.120,ЮФО,8,2020,0.0
Республика Калмыкия,23.52.10.120,ЮФО,8,2020,0.0
Республика Крым,23.52.10.120,ЮФО,8,2020,
Ростовская область,23.52.10.120,ЮФО,8,2020,0.018
Севастополь,23.52.10.120,ЮФО,8,2020,0.0
Амурская область,23.52.10.130,ДВФО,8,2020,0.0
Еврейская автономная область,23.52.10.130,ДВФО,8,2020,0.0
Камчатский край,23.52.10.130,ДВФО,8,2020,0.0
Магаданская область,23.52.10.130,ДВФО,8,2020,0.0
Приморский край,23.52.10.130,ДВФО,8,2020,
Республика Саха (Якутия),23.52.10.130,ДВФО,8,2020,0.0
Сахалинская область,23.52.10.130,ДВФО,8,2020,0.0
Хабаровский край,23.52.10.130,ДВФО,8,2020,3.8
Кировская область,23.52.10.130,ПФО,8,2020,0.0
Нижегородская область,23.52.10.130,ПФО,8,2020,1.6
Оренбургская область,23.52.10.130,ПФО,8,2020,
Пензенская область,23.52.10.130,ПФО,8,2020,
Пермский край,23.52.10.130,ПФО,8,2020,40.7
Республика Башкортостан,23.52.10.130,ПФО,8,2020,
Республика Марий Эл,23.52.10.130,ПФО,8,2020,
Республика Мордовия,23.52.10.130,ПФО,8,2020,
Республика Татарстан,23.52.10.130,ПФО,8,2020,2.7
Самарская область,23.52.10.130,ПФО,8,2020,
Саратовская область,23.52.10.130,ПФО,8,2020,0.0
Удмуртская Республика,23.52.10.130,ПФО,8,2020,1.48
Ульяновская область,23.52.10.130,ПФО,8,2020,4.7
Чувашская Республика,23.52.10.130,ПФО,8,2020,
Архангельская область,23.52.10.130,СЗФО,8,2020,
Вологодская область,23.52.10.130,СЗФО,8,2020,52.4
Калининградская область,23.52.10.130,СЗФО,8,2020,0.0
Ленинградская область,23.52.10.130,СЗФО,8,2020,5.0
Мурманская область,23.52.10.130,СЗФО,8,2020,0.0
Новгородская область,23.52.10.130,СЗФО,8,2020,0.0
Псковская область,23.52.10.130,СЗФО,8,2020,0.0
Республика Карелия,23.52.10.130,СЗФО,8,2020,0.0
Республика Коми,23.52.10.130,СЗФО,8,2020,
Санкт-Петербург,23.52.10.130,СЗФО,8,2020,0.0
Кабардино-Балкарская Республика,23.52.10.130,СКФО,8,2020,0.0
Карачаево-Черкесская Республика,23.52.10.130,СКФО,8,2020,
Республика Дагестан,23.52.10.130,СКФО,8,2020,0.0
Республика Ингушетия,23.52.10.130,СКФО,8,2020,0.0
Республика Северная Осетия-Алания,23.52.10.130,СКФО,8,2020,0.0
Ставропольский край,23.52.10.130,СКФО,8,2020,0.0
Чеченская Республика,23.52.10.130,СКФО,8,2020,0.0
Алтайский край,23.52.10.130,СФО,8,2020,
Забайкальский край,23.52.10.130,ДВФО,8,2020,0.0
Иркутская область,23.52.10.130,СФО,8,2020,0.0
Кемеровская область,23.52.10.130,СФО,8,2020,
Красноярский край,23.52.10.130,СФО,8,2020,
Новосибирская область,23.52.10.130,СФО,8,2020,0.0
Омская область,23.52.10.130,СФО,8,2020,0.0
Республика Алтай,23.52.10.130,СФО,8,2020,0.0
Республика Бурятия,23.52.10.130,ДВФО,8,2020,0.0
Республика Тыва,23.52.10.130,СФО,8,2020,0.0
Республика Хакасия,23.52.10.130,СФО,8,2020,0.0
Томская область,23.52.10.130,СФО,8,2020,0.0
Курганская область,23.52.10.130,УФО,8,2020,0.0
Свердловская область,23.52.10.130,УФО,8,2020,2.2
Тюменская область,23.52.10.130,УФО,8,2020,
Челябинская область,23.52.10.130,УФО,8,2020,111.5
Белгородская область,23.52.10.130,ЦФО,8,2020,
Брянская область,23.52.10.130,ЦФО,8,2020,
Владимирская область,23.52.10.130,ЦФО,8,2020,
Воронежская область,23.52.10.130,ЦФО,8,2020,0.0
Ивановская область,23.52.10.130,ЦФО,8,2020,
Калужская область,23.52.10.130,ЦФО,8,2020,
Костромская область,23.52.10.130,ЦФО,8,2020,0.0
Курская область,23.52.10.130,ЦФО,8,2020,
Липецкая область,23.52.10.130,ЦФО,8,2020,
Москва,23.52.10.130,ЦФО,8,2020,0.0
Московская область,23.52.10.130,ЦФО,8,2020,0.0
Орловская область,23.52.10.130,ЦФО,8,2020,
Рязанская область,23.52.10.130,ЦФО,8,2020,
Смоленская область,23.52.10.130,ЦФО,8,2020,0.0
Тамбовская область,23.52.10.130,ЦФО,8,2020,0.0
Тверская область,23.52.10.130,ЦФО,8,2020,
Тульская область,23.52.10.130,ЦФО,8,2020,
Ярославская область,23.52.10.130,ЦФО,8,2020,0.0
Астраханская область,23.52.10.130,ЮФО,8,2020,0.0
Волгоградская область,23.52.10.130,ЮФО,8,2020,
Краснодарский край,23.52.10.130,ЮФО,8,2020,
Республика Адыгея,23.52.10.130,ЮФО,8,2020,0.0
Республика Калмыкия,23.52.10.130,ЮФО,8,2020,0.0
Республика Крым,23.52.10.130,ЮФО,8,2020,0.0
Ростовская область,23.52.10.130,ЮФО,8,2020,
Севастополь,23.52.10.130,ЮФО,8,2020,0.0
Амурская область,23.52.10.110,ДВФО,9,2020,0.0
Еврейская автономная область,23.52.10.110,ДВФО,9,2020,
Камчатский край,23.52.10.110,ДВФО,9,2020,0.0
Магаданская область,23.52.10.110,ДВФО,9,2020,0.0
Приморский край,23.52.10.110,ДВФО,9,2020,0.162
Республика Саха (Якутия),23.52.10.110,ДВФО,9,2020,0.0
Сахалинская область,23.52.10.110,ДВФО,9,2020,
Хабаровский край,23.52.10.110,ДВФО,9,2020,
Кировская область,23.52.10.110,ПФО,9,2020,
Нижегородская область,23.52.10.110,ПФО,9,2020,3.679
Оренбургская область,23.52.10.110,ПФО,9,2020,17.08
Пензенская область,23.52.10.110,ПФО,9,2020,
Пермский край,23.52.10.110,ПФО,9,2020,1.5
Республика Башкортостан,23.52.10.110,ПФО,9,2020,128.104
Республика Марий Эл,23.52.10.110,ПФО,9,2020,1.5
Республика Мордовия,23.52.10.110,ПФО,9,2020,1.4
Республика Татарстан,23.52.10.110,ПФО,9,2020,1.34
Самарская область,23.52.10.110,ПФО,9,2020,5.6
Саратовская область,23.52.10.110,ПФО,9,2020,5.3
Удмуртская Республика,23.52.10.110,ПФО,9,2020,0.5
Ульяновская область,23.52.10.110,ПФО,9,2020,6.6
Чувашская Республика,23.52.10.110,ПФО,9,2020,
Архангельская область,23.52.10.110,СЗФО,9,2020,13.6
Вологодская область,23.52.10.110,СЗФО,9,2020,0.0
Калининградская область,23.52.10.110,СЗФО,9,2020,0.0
Ленинградская область,23.52.10.110,СЗФО,9,2020,
Мурманская область,23.52.10.110,СЗФО,9,2020,0.0
Новгородская область,23.52.10.110,СЗФО,9,2020,9.7
Псковская область,23.52.10.110,СЗФО,9,2020,
Республика Карелия,23.52.10.110,СЗФО,9,2020,0.0
Республика Коми,23.52.10.110,СЗФО,9,2020,5.5
Санкт-Петербург,23.52.10.110,СЗФО,9,2020,2.9
Кабардино-Балкарская Республика,23.52.10.110,СКФО,9,2020,0.0
Карачаево-Черкесская Республика,23.52.10.110,СКФО,9,2020,4.5
Республика Дагестан,23.52.10.110,СКФО,9,2020,0.32
Республика Ингушетия,23.52.10.110,СКФО,9,2020,0.0
Республика Северная Осетия-Алания,23.52.10.110,СКФО,9,2020,
Ставропольский край,23.52.10.110,СКФО,9,2020,0.0
Чеченская Республика,23.52.10.110,СКФО,9,2020,
Алтайский край,23.52.10.110,СФО,9,2020,2.7
Забайкальский край,23.52.10.110,ДВФО,9,2020,
Иркутская область,23.52.10.110,СФО,9,2020,
Кемеровская область,23.52.10.110,СФО,9,2020,46.013
Красноярский край,23.52.10.110,СФО,9,2020,17.8
Новосибирская область,23.52.10.110,СФО,9,2020,13.5
Омская область,23.52.10.110,СФО,9,2020,0.0
Республика Алтай,23.52.10.110,СФО,9,2020,
Республика Бурятия,23.52.10.110,ДВФО,9,2020,0.015
Республика Тыва,23.52.10.110,СФО,9,2020,
Республика Хакасия,23.52.10.110,СФО,9,2020,0.0
Томская область,23.52.10.110,СФО,9,2020,0.0
Курганская область,23.52.10.110,УФО,9,2020,0.0
Свердловская область,23.52.10.110,УФО,9,2020,40.5
Тюменская область,23.52.10.110,УФО,9,2020,
Челябинская область,23.52.10.110,УФО,9,2020,31.0
Белгородская область,23.52.10.110,ЦФО,9,2020,29.3
Брянская область,23.52.10.110,ЦФО,9,2020,25.1
Владимирская область,23.52.10.110,ЦФО,9,2020,4.0
Воронежская область,23.52.10.110,ЦФО,9,2020,28.4
Ивановская область,23.52.10.110,ЦФО,9,2020,1.1
Калужская область,23.52.10.110,ЦФО,9,2020,18.6
Костромская область,23.52.10.110,ЦФО,9,2020,16.3
Курская область,23.52.10.110,ЦФО,9,2020,
Липецкая область,23.52.10.110,ЦФО,9,2020,111.7
Москва,23.52.10.110,ЦФО,9,2020,0.0
Московская область,23.52.10.110,ЦФО,9,2020,
Орловская область,23.52.10.110,ЦФО,9,2020,0.2
Рязанская область,23.52.10.110,ЦФО,9,2020,
Смоленская область,23.52.10.110,ЦФО,9,2020,0.0
Тамбовская область,23.52.10.110,ЦФО,9,2020,
Тверская область,23.52.10.110,ЦФО,9,2020,0.6
Тульская область,23.52.10.110,ЦФО,9,2020,16.8
Ярославская область,23.52.10.110,ЦФО,9,2020,0.0
Астраханская область,23.52.10.110,ЮФО,9,2020,0.0
Волгоградская область,23.52.10.110,ЮФО,9,2020,2.805
Краснодарский край,23.52.10.110,ЮФО,9,2020,7.362
Республика Адыгея,23.52.10.110,ЮФО,9,2020,
Республика Калмыкия,23.52.10.110,ЮФО,9,2020,0.0
Республика Крым,23.52.10.110,ЮФО,9,2020,25.1
Ростовская область,23.52.10.110,ЮФО,9,2020,20.152
Севастополь,23.52.10.110,ЮФО,9,2020,0.0
Амурская область,23.52.10.120,ДВФО,9,2020,
Еврейская автономная область,23.52.10.120,ДВФО,9,2020,0.0
Камчатский край,23.52.10.120,ДВФО,9,2020,0.0
Магаданская область,23.52.10.120,ДВФО,9,2020,0.0
Приморский край,23.52.10.120,ДВФО,9,2020,
Республика Саха (Якутия),23.52.10.120,ДВФО,9,2020,0.0
Сахалинская область,23.52.10.120,ДВФО,9,2020,0.0
Хабаровский край,23.52.10.120,ДВФО,9,2020,0.0
Кировская область,23.52.10.120,ПФО,9,2020,0.0
Нижегородская область,23.52.10.120,ПФО,9,2020,
Оренбургская область,23.52.10.120,ПФО,9,2020,0.0
Пензенская область,23.52.10.120,ПФО,9,2020,0.0
Пермский край,23.52.10.120,ПФО,9,2020,
Республика Башкортостан,23.52.10.120,ПФО,9,2020,
Республика Марий Эл,23.52.10.120,ПФО,9,2020,0.0
Республика Мордовия,23.52.10.120,ПФО,9,2020,0.0
Республика Татарстан,23.52.10.120,ПФО,9,2020,0.0
Самарская область,23.52.10.120,ПФО,9,2020,0.0
Саратовская область,23.52.10.120,ПФО,9,2020,
Удмуртская Республика,23.52.10.120,ПФО,9,2020,0.0
Ульяновская область,23.52.10.120,ПФО,9,2020,0.0
Чувашская Республика,23.52.10.120,ПФО,9,2020,0.8
Архангельская область,23.52.10.120,СЗФО,9,2020,0.0
Вологодская область,23.52.10.120,СЗФО,9,2020,
Калининградская область,23.52.10.120,СЗФО,9,2020,0.0
Ленинградская область,23.52.10.120,СЗФО,9,2020,0.0
Мурманская область,23.52.10.120,СЗФО,9,2020,0.0
Новгородская область,23.52.10.120,СЗФО,9,2020,0.7
Псковская область,23.52.10.120,СЗФО,9,2020,0.0
Республика Карелия,23.52.10.120,СЗФО,9,2020,0.0
Республика Коми,23.52.10.120,СЗФО,9,2020,0.0
Санкт-Петербург,23.52.10.120,СЗФО,9,2020,
Кабардино-Балкарская Республика,23.52.10.120,СКФО,9,2020,0.0
Карачаево-Черкесская Республика,23.52.10.120,СКФО,9,2020,
Республика Дагестан,23.52.10.120,СКФО,9,2020,1.0
Республика Ингушетия,23.52.10.120,СКФО,9,2020,0.0
Республика Северная Осетия-Алания,23.52.10.120,СКФО,9,2020,0.0
Ставропольский край,23.52.10.120,СКФО,9,2020,0.0
Чеченская Республика,23.52.10.120,СКФО,9,2020,
Алтайский край,23.52.10.120,СФО,9,2020,
Забайкальский край,23.52.10.120,ДВФО,9,2020,0.0
Иркутская область,23.52.10.120,СФО,9,2020,
Кемеровская область,23.52.10.120,СФО,9,2020,
Красноярский край,23.52.10.120,СФО,9,2020,0.3
Новосибирская область,23.52.10.120,СФО,9,2020,2.9
Омская область,23.52.10.120,СФО,9,2020,0.0
Республика Алтай,23.52.10.120,СФО,9,2020,0.0
Республика Бурятия,23.52.10.120,ДВФО,9,2020,
Республика Тыва,23.52.10.120,СФО,9,2020,0.0
Республика Хакасия,23.52.10.120,СФО,9,2020,0.0
Томская область,23.52.10.120,СФО,9,2020,0.0
Курганская область,23.52.10.120,УФО,9,2020,0.001
Свердловская область,23.52.10.120,УФО,9,2020,1.4
Тюменская область,23.52.10.120,УФО,9,2020,0.0
Челябинская область,23.52.10.120,УФО,9,2020,2.1
Белгородская область,23.52.10.120,ЦФО,9,2020,3.0
Брянская область,23.52.10.120,ЦФО,9,2020,0.0
Владимирская область,23.52.10.120,ЦФО,9,2020,2.2
Воронежская область,23.52.10.120,ЦФО,9,2020,2.48
Ивановская область,23.52.10.120,ЦФО,9,2020,0.0
Калужская область,23.52.10.120,ЦФО,9,2020,4.2
Костромская область,23.52.10.120,ЦФО,9,2020,0.0
Курская область,23.52.10.120,ЦФО,9,2020,0.0
Липецкая область,23.52.10.120,ЦФО,9,2020,0.1
Москва,23.52.10.120,ЦФО,9,2020,0.0
Московская область,23.52.10.120,ЦФО,9,2020,0.0
Орловская область,23.52.10.120,ЦФО,9,2020,
Рязанская область,23.52.10.120,ЦФО,9,2020,0.0
Смоленская область,23.52.10.120,ЦФО,9,2020,0.0
Тамбовская область,23.52.10.120,ЦФО,9,2020,0.0
Тверская область,23.52.10.120,ЦФО,9,2020,
Тульская область,23.52.10.120,ЦФО,9,2020,0.0
Ярославская область,23.52.10.120,ЦФО,9,2020,0.0
Астраханская область,23.52.10.120,ЮФО,9,2020,0.0
Волгоградская область,23.52.10.120,ЮФО,9,2020,0.0
Краснодарский край,23.52.10.120,ЮФО,9,2020,1.874
Республика Адыгея,23.52.10.120,ЮФО,9,2020,0.0
Республика Калмыкия,23.52.10.120,ЮФО,9,2020,0.0
Республика Крым,23.52.10.120,ЮФО,9,2020,
Ростовская область,23.52.10.120,ЮФО,9,2020,0.011
Севастополь,23.52.10.120,ЮФО,9,2020,0.0
Амурская область,23.52.10.130,ДВФО,9,2020,0.0
Еврейская автономная область,23.52.10.130,ДВФО,9,2020,0.0
Камчатский край,23.52.10.130,ДВФО,9,2020,0.0
Магаданская область,23.52.10.130,ДВФО,9,2020,0.0
Приморский край,23.52.10.130,ДВФО,9,2020,
Республика Саха (Якутия),23.52.10.130,ДВФО,9,2020,0.0
Сахалинская область,23.52.10.130,ДВФО,9,2020,0.0
Хабаровский край,23.52.10.130,ДВФО,9,2020,3.5
Кировская область,23.52.10.130,ПФО,9,2020,0.0
Нижегородская область,23.52.10.130,ПФО,9,2020,1.9
Оренбургская область,23.52.10.130,ПФО,9,2020,
Пензенская область,23.52.10.130,ПФО,9,2020,6.4
Пермский край,23.52.10.130,ПФО,9,2020,42.4
Республика Башкортостан,23.52.10.130,ПФО,9,2020,
Республика Марий Эл,23.52.10.130,ПФО,9,2020,
Республика Мордовия,23.52.10.130,ПФО,9,2020,
Республика Татарстан,23.52.10.130,ПФО,9,2020,2.63
Самарская область,23.52.10.130,ПФО,9,2020,
Саратовская область,23.52.10.130,ПФО,9,2020,0.0
Удмуртская Республика,23.52.10.130,ПФО,9,2020,1.96
Ульяновская область,23.52.10.130,ПФО,9,2020,4.2
Чувашская Республика,23.52.10.130,ПФО,9,2020,
Архангельская область,23.52.10.130,СЗФО,9,2020,
Вологодская область,23.52.10.130,СЗФО,9,2020,48.3
Калининградская область,23.52.10.130,СЗФО,9,2020,0.0
Ленинградская область,23.52.10.130,СЗФО,9,2020,4.0
Мурманская область,23.52.10.130,СЗФО,9,2020,0.0
Новгородская область,23.52.10.130,СЗФО,9,2020,0.0
Псковская область,23.52.10.130,СЗФО,9,2020,0.0
Республика Карелия,23.52.10.130,СЗФО,9,2020,0.0
Республика Коми,23.52.10.130,СЗФО,9,2020,
Санкт-Петербург,23.52.10.130,СЗФО,9,2020,0.0
Кабардино-Балкарская Республика,23.52.10.130,СКФО,9,2020,0.0
Карачаево-Черкесская Республика,23.52.10.130,СКФО,9,2020,
Республика Дагестан,23.52.10.130,СКФО,9,2020,0.0
Республика Ингушетия,23.52.10.130,СКФО,9,2020,0.0
Республика Северная Осетия-Алания,23.52.10.130,СКФО,9,2020,0.0
Ставропольский край,23.52.10.130,СКФО,9,2020,0.0
Чеченская Республика,23.52.10.130,СКФО,9,2020,0.0
Алтайский край,23.52.10.130,СФО,9,2020,
Забайкальский край,23.52.10.130,ДВФО,9,2020,0.0
Иркутская область,23.52.10.130,СФО,9,2020,0.0
Кемеровская область,23.52.10.130,СФО,9,2020,
Красноярский край,23.52.10.130,СФО,9,2020,
Новосибирская область,23.52.10.130,СФО,9,2020,0.0
Омская область,23.52.10.130,СФО,9,2020,0.0
Республика Алтай,23.52.10.130,СФО,9,2020,0.0
Республика Бурятия,23.52.10.130,ДВФО,9,2020,0.0
Республика Тыва,23.52.10.130,СФО,9,2020,0.0
Республика Хакасия,23.52.10.130,СФО,9,2020,0.0
Томская область,23.52.10.130,СФО,9,2020,0.0
Курганская область,23.52.10.130,УФО,9,2020,0.0
Свердловская область,23.52.10.130,УФО,9,2020,2.0
Тюменская область,23.52.10.130,УФО,9,2020,
Челябинская область,23.52.10.130,УФО,9,2020,113.2
Белгородская область,23.52.10.130,ЦФО,9,2020,5.87
Брянская область,23.52.10.130,ЦФО,9,2020,
Владимирская область,23.52.10.130,ЦФО,9,2020,
Воронежская область,23.52.10.130,ЦФО,9,2020,0.0
Ивановская область,23.52.10.130,ЦФО,9,2020,
Калужская область,23.52.10.130,ЦФО,9,2020,
Костромская область,23.52.10.130,ЦФО,9,2020,0.0
Курская область,23.52.10.130,ЦФО,9,2020,
Липецкая область,23.52.10.130,ЦФО,9,2020,
Москва,23.52.10.130,ЦФО,9,2020,0.0
Московская область,23.52.10.130,ЦФО,9,2020,0.0
Орловская область,23.52.10.130,ЦФО,9,2020,
Рязанская область,23.52.10.130,ЦФО,9,2020,
Смоленская область,23.52.10.130,ЦФО,9,2020,0.0
Тамбовская область,23.52.10.130,ЦФО,9,2020,0.0
Тверская область,23.52.10.130,ЦФО,9,2020,
Тульская область,23.52.10.130,ЦФО,9,2020,
Ярославская область,23.52.10.130,ЦФО,9,2020,0.0
Астраханская область,23.52.10.130,ЮФО,9,2020,0.0
Волгоградская область,23.52.10.130,ЮФО,9,2020,
Краснодарский край,23.52.10.130,ЮФО,9,2020,
Республика Адыгея,23.52.10.130,ЮФО,9,2020,0.0
Республика Калмыкия,23.52.10.130,ЮФО,9,2020,0.0
Республика Крым,23.52.10.130,ЮФО,9,2020,0.0
Ростовская область,23.52.10.130,ЮФО,9,2020,
Севастополь,23.52.10.130,ЮФО,9,2020,0.0
Амурская область,23.52.10.110,ДВФО,10,2020,0.0
Еврейская автономная область,23.52.10.110,ДВФО,10,2020,
Камчатский край,23.52.10.110,ДВФО,10,2020,0.0
Магаданская область,23.52.10.110,ДВФО,10,2020,0.0
Приморский край,23.52.10.110,ДВФО,10,2020,0.098
Республика Саха (Якутия),23.52.10.110,ДВФО,10,2020,0.0
Сахалинская область,23.52.10.110,ДВФО,10,2020,
Хабаровский край,23.52.10.110,ДВФО,10,2020,
Кировская область,23.52.10.110,ПФО,10,2020,
Нижегородская область,23.52.10.110,ПФО,10,2020,4.351
Оренбургская область,23.52.10.110,ПФО,10,2020,15.79
Пензенская область,23.52.10.110,ПФО,10,2020,
Пермский край,23.52.10.110,ПФО,10,2020,4.4
Республика Башкортостан,23.52.10.110,ПФО,10,2020,136.556
Республика Марий Эл,23.52.10.110,ПФО,10,2020,2.0
Республика Мордовия,23.52.10.110,ПФО,10,2020,1.2
Республика Татарстан,23.52.10.110,ПФО,10,2020,1.4
Самарская область,23.52.10.110,ПФО,10,2020,3.4
Саратовская область,23.52.10.110,ПФО,10,2020,7.1
Удмуртская Республика,23.52.10.110,ПФО,10,2020,0.2
Ульяновская область,23.52.10.110,ПФО,10,2020,6.4
Чувашская Республика,23.52.10.110,ПФО,10,2020,
Архангельская область,23.52.10.110,СЗФО,10,2020,13.8
Вологодская область,23.52.10.110,СЗФО,10,2020,0.0
Калининградская область,23.52.10.110,СЗФО,10,2020,0.0
Ленинградская область,23.52.10.110,СЗФО,10,2020,
Мурманская область,23.52.10.110,СЗФО,10,2020,0.0
Новгородская область,23.52.10.110,СЗФО,10,2020,9.4
Псковская область,23.52.10.110,СЗФО,10,2020,
Республика Карелия,23.52.10.110,СЗФО,10,2020,0.0
Республика Коми,23.52.10.110,СЗФО,10,2020,7.6
Санкт-Петербург,23.52.10.110,СЗФО,10,2020,2.6
Кабардино-Балкарская Республика,23.52.10.110,СКФО,10,2020,0.0
Карачаево-Черкесская Республика,23.52.10.110,СКФО,10,2020,4.1
Республика Дагестан,23.52.10.110,СКФО,10,2020,0.32
Республика Ингушетия,23.52.10.110,СКФО,10,2020,0.0
Республика Северная Осетия-Алания,23.52.10.110,СКФО,10,2020,
Ставропольский край,23.52.10.110,СКФО,10,2020,0.0
Чеченская Республика,23.52.10.110,СКФО,10,2020,
Алтайский край,23.52.10.110,СФО,10,2020,2.6
Забайкальский край,23.52.10.110,ДВФО,10,2020,
Иркутская область,23.52.10.110,СФО,10,2020,
Кемеровская область,23.52.10.110,СФО,10,2020,49.014
Красноярский край,23.52.10.110,СФО,10,2020,17.5
Новосибирская область,23.52.10.110,СФО,10,2020,11.8
Омская область,23.52.10.110,СФО,10,2020,0.0
Республика Алтай,23.52.10.110,СФО,10,2020,
Республика Бурятия,23.52.10.110,ДВФО,10,2020,0.014
Республика Тыва,23.52.10.110,СФО,10,2020,
Республика Хакасия,23.52.10.110,СФО,10,2020,0.0
Томская область,23.52.10.110,СФО,10,2020,0.0
Курганская область,23.52.10.110,УФО,10,2020,0.0
Свердловская область,23.52.10.110,УФО,10,2020,42.0
Тюменская область,23.52.10.110,УФО,10,2020,
Челябинская область,23.52.10.110,УФО,10,2020,32.4
Белгородская область,23.52.10.110,ЦФО,10,2020,33.8
Брянская область,23.52.10.110,ЦФО,10,2020,26.2
Владимирская область,23.52.10.110,ЦФО,10,2020,4.4
Воронежская область,23.52.10.110,ЦФО,10,2020,33.2
Ивановская область,23.52.10.110,ЦФО,10,2020,1.1
Калужская область,23.52.10.110,ЦФО,10,2020,17.9
Костромская область,23.52.10.110,ЦФО,10,2020,16.8
Курская область,23.52.10.110,ЦФО,10,2020,
Липецкая область,23.52.10.110,ЦФО,10,2020,126.7
Москва,23.52.10.110,ЦФО,10,2020,0.0
Московская область,23.52.10.110,ЦФО,10,2020,
Орловская область,23.52.10.110,ЦФО,10,2020,0.2
Рязанская область,23.52.10.110,ЦФО,10,2020,
Смоленская область,23.52.10.110,ЦФО,10,2020,0.0
Тамбовская область,23.52.10.110,ЦФО,10,2020,
Тверская область,23.52.10.110,ЦФО,10,2020,0.9
Тульская область,23.52.10.110,ЦФО,10,2020,15.8
Ярославская область,23.52.10.110,ЦФО,10,2020,0.0
Астраханская область,23.52.10.110,ЮФО,10,2020,0.0
Волгоградская область,23.52.10.110,ЮФО,10,2020,2.995
Краснодарский край,23.52.10.110,ЮФО,10,2020,7.68
Республика Адыгея,23.52.10.110,ЮФО,10,2020,
Республика Калмыкия,23.52.10.110,ЮФО,10,2020,0.0
Республика Крым,23.52.10.110,ЮФО,10,2020,31.5
Ростовская область,23.52.10.110,ЮФО,10,2020,19.08
Севастополь,23.52.10.110,ЮФО,10,2020,0.0
Амурская область,23.52.10.120,ДВФО,10,2020,
Еврейская автономная область,23.52.10.120,ДВФО,10,2020,0.0
Камчатский край,23.52.10.120,ДВФО,10,2020,0.0
Магаданская область,23.52.10.120,ДВФО,10,2020,0.0
Приморский край,23.52.10.120,ДВФО,10,2020,
Республика Саха (Якутия),23.52.10.120,ДВФО,10,2020,0.0
Сахалинская область,23.52.10.120,ДВФО,10,2020,0.0
Хабаровский край,23.52.10.120,ДВФО,10,2020,0.0
Кировская область,23.52.10.120,ПФО,10,2020,0.0
Нижегородская область,23.52.10.120,ПФО,10,2020,
Оренбургская область,23.52.10.120,ПФО,10,2020,0.0
Пензенская область,23.52.10.120,ПФО,10,2020,0.0
Пермский край,23.52.10.120,ПФО,10,2020,
Республика Башкортостан,23.52.10.120,ПФО,10,2020,
Республика Марий Эл,23.52.10.120,ПФО,10,2020,0.0
Республика Мордовия,23.52.10.120,ПФО,10,2020,0.0
Республика Татарстан,23.52.10.120,ПФО,10,2020,0.0
Самарская область,23.52.10.120,ПФО,10,2020,0.0
Саратовская область,23.52.10.120,ПФО,10,2020,
Удмуртская Республика,23.52.10.120,ПФО,10,2020,0.0
Ульяновская область,23.52.10.120,ПФО,10,2020,0.0
Чувашская Республика,23.52.10.120,ПФО,10,2020,0.9
Архангельская область,23.52.10.120,СЗФО,10,2020,0.0
Вологодская область,23.52.10.120,СЗФО,10,2020,
Калининградская область,23.52.10.120,СЗФО,10,2020,0.0
Ленинградская область,23.52.10.120,СЗФО,10,2020,0.0
Мурманская область,23.52.10.120,СЗФО,10,2020,0.0
Новгородская область,23.52.10.120,СЗФО,10,2020,1.0
Псковская область,23.52.10.120,СЗФО,10,2020,0.0
Республика Карелия,23.52.10.120,СЗФО,10,2020,0.0
Республика Коми,23.52.10.120,СЗФО,10,2020,0.0
Санкт-Петербург,23.52.10.120,СЗФО,10,2020,
Кабардино-Балкарская Республика,23.52.10.120,СКФО,10,2020,0.0
Карачаево-Черкесская Республика,23.52.10.120,СКФО,10,2020,
Республика Дагестан,23.52.10.120,СКФО,10,2020,0.0
Республика Ингушетия,23.52.10.120,СКФО,10,2020,0.0
Республика Северная Осетия-Алания,23.52.10.120,СКФО,10,2020,0.0
Ставропольский край,23.52.10.120,СКФО,10,2020,0.0
Чеченская Республика,23.52.10.120,СКФО,10,2020,
Алтайский край,23.52.10.120,СФО,10,2020,
Забайкальский край,23.52.10.120,ДВФО,10,2020,0.0
Иркутская область,23.52.10.120,СФО,10,2020,
Кемеровская область,23.52.10.120,СФО,10,2020,
Красноярский край,23.52.10.120,СФО,10,2020,0.7
Новосибирская область,23.52.10.120,СФО,10,2020,2.6
Омская область,23.52.10.120,СФО,10,2020,0.0
Республика Алтай,23.52.10.120,СФО,10,2020,0.0
Республика Бурятия,23.52.10.120,ДВФО,10,2020,
Республика Тыва,23.52.10.120,СФО,10,2020,0.0
Республика Хакасия,23.52.10.120,СФО,10,2020,0.0
Томская область,23.52.10.120,СФО,10,2020,0.0
Курганская область,23.52.10.120,УФО,10,2020,0.005
Свердловская область,23.52.10.120,УФО,10,2020,1.3
Тюменская область,23.52.10.120,УФО,10,2020,0.0
Челябинская область,23.52.10.120,УФО,10,2020,1.9
Белгородская область,23.52.10.120,ЦФО,10,2020,2.7
Брянская область,23.52.10.120,ЦФО,10,2020,0.0
Владимирская область,23.52.10.120,ЦФО,10,2020,2.0
Воронежская область,23.52.10.120,ЦФО,10,2020,3.33
Ивановская область,23.52.10.120,ЦФО,10,2020,0.0
Калужская область,23.52.10.120,ЦФО,10,2020,3.0
Костромская область,23.52.10.120,ЦФО,10,2020,0.0
Курская область,23.52.10.120,ЦФО,10,2020,0.0
Липецкая область,23.52.10.120,ЦФО,10,2020,0.1
Москва,23.52.10.120,ЦФО,10,2020,0.0
Московская область,23.52.10.120,ЦФО,10,2020,0.0
